Region,District,Chiefdom,Section,wp name,wp type,wp_func,wp_susta,wp_suita,ownership,maintenance,WASH comm,decl_ODF,extrac_type,time_repair,chlorination,maint_con
North,Port Loko,Lokomasama,Magbon,Community Well,protec dug_well,Functional NOT in use,Seasonal,Yes,Community,Other community group,No,Yes,Hand pump,More than a year,Yes,other
North,Port Loko,Kaffu Bullom,ROTIFUNK,Private well,protec dug_well,Functional in use,Seasonal,Yes,Private Individual,Privat owner,Yes,Yes,"Hand manual (e.g. rope pump, rope & bucket)",never broken,Yes,other
North,Port Loko,Buya Romende,Masanissie,DEC Primary school,protec dug_well,Functional in use,Seasonal,Yes,School,School,Yes,No,Hand pump,More than a year,Yes,School
North,Bombali,Sella Limba,Kamethe 1,Bdec Pri Sch well Kamethe 1,protec dug_well,Broken down,Seasonal,Yes,School,NGO,Yes,Yes,Hand pump,Over a month,No,NGO
North,Port Loko,Buya Romende,Makonday,R.C.Primary School,protec dug_well,Functional in use,Seasonal,Yes,School,WASH management committee,Yes,No,Hand pump,never broken,Yes,WASH management committee
North,Tonkolili,Kholifa Rowala,magburaka,MCA water point,public tap/kiosk,Functional in use,Always water,Yes,School,School,Yes,No,tap,never broken,,School
North,Tonkolili,Kholifa Rowala,New London,11 Jawara watet point,spring_protec,Functional in use,Seasonal,Yes,Private Individual,WASH management committee,Yes,No,,Over a week,,WASH management committee
North,Tonkolili,Kholifa Rowala,ropolo,ropolo tap 1,public tap/kiosk,Broken down,Seasonal,Yes,Private Individual,Privat owner,No,No,stand post,never broken,,other
North,Bombali,Makari Gbanti,Makari,RC Primary School Well,protec dug_well,Broken down,Always water,Yes,School,Catholic Mission,Yes,No,Hand pump,Over a month,Yes,other
North,Tonkolili,,mabbakoh,mabbakoh water point,borewell,Functional NOT in use,Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,Over a month,Yes,WASH management committee
North,Bombali,Biriwa,Serafula,S.L.M.B Primary School Well,protec dug_well,Functional in use,Seasonal,Yes,School,WASH management committee,Yes,No,Hand pump,Over a week,No,WASH management committee
North,Port Loko,TMS,Benkia,PaSorie Kabia,protec dug_well,Functional in use,Seasonal,Yes,Community,Privat owner,No,Yes,Hand pump,never broken,No,other
North,Port Loko,Lokomasama,Kalangba,School well,protec dug_well,Functional NOT in use,Seasonal,No,School,School,Yes,Yes,Hand pump,More than a year,No,School
North,Tonkolili,Kunike Barina,Makalie,Makalie water point,protec dug_well,Functional in use,Dry always / Never water,Yes,Community,WASH management committee,Yes,Yes,Hand pump,Over a week,No,WASH management committee
North,Tonkolili,Yoni,mile 91,canadian college well,protec dug_well,Functional in use,Always water,Yes,Other Institution,SALWACO,Yes,No,Submersible pump,never broken,Yes,SALWACO
North,Port Loko,Masimera,Mathalay Bana Village,Community water well,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,Yes,No,Hand pump,never broken,Yes,other
North,Port Loko,Sanda Magbolont,Magbolontor,Central Town,protec dug_well,Functional in use,Seasonal,Yes,Community,NGO,Yes,Yes,Hand pump,Over a month,Yes,NGO
North,Bombali,Biriwa,Kabuita community,Kabuita community well,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,No,No,Hand pump,Over a month,No,other
North,Port Loko,Buya Romende,kamasondu,Junior Sec School Kamasondu,protec dug_well,Functional in use,Seasonal,Uknown,School,School,No,No,Hand pump,Over a month,Yes,School
North,Bombali,Sella Limba,Kakamba,Kakamba com well 2.,protec dug_well,Broken down,Dry always / Never water,Uknown,Community,NGO,Unknown,No,Hand pump,More than a year,Unkown,NGO
North,Port Loko,Kaffu Bullom,Rotifunk,Community well,protec dug_well,Functional in use,Seasonal,Yes,Other Institution,Other Institution,No,Yes,Hand pump,never broken,Yes,Other Institution
North,Tonkolili,Kholifa Rowala,sankoh street community,sankoh street water point,protec dug_well,Broken down,Seasonal,Yes,Community,GUMA,No,Don't know,Hand pump,More than a year,No,GUMA
North,Port Loko,Kaffu Bullom,Rotifunk town,community well,protec dug_well,Functional in use,Seasonal,Yes,Private Individual,Privat owner,No,Yes,Hand pump,Over a week,Yes,other
North,Koinadugu,Dembelia-Sinkunia,Sinkunia,CHC,protec dug_well,Functional in use,Seasonal,Yes,School,School,No,No,Hand pump,Over a month,Yes,School
North,Koinadugu,Nieni,Yifin,Hand dug well,protec dug_well,Functional in use,Always water,Yes,Health Facility,Health Facility,Yes,No,Hand pump,never broken,Yes,Health Facility
North,Port Loko,Kaffu Bullom,Tombo lul,A B U,protec dug_well,Functional in use,Dry always / Never water,Yes,Other Institution,Other Institution,Yes,Yes,Hand pump,never broken,Yes,Other Institution
North,Port Loko,Buya Romende,Nabureh,UMC Primary School,protec dug_well,Broken down,Seasonal,Yes,School,WASH management committee,Yes,No,Hand pump,More than a year,Yes,WASH management committee
North,Port Loko,Kaffu Bullom,Royeama,Community well,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,Yes,Yes,"Hand manual (e.g. rope pump, rope & bucket)",never broken,Yes,other
North,Port Loko,Kaffu Bullom,Sumbuya,community well,protec dug_well,Functional in use,Seasonal,No,Private Individual,Privat owner,No,Yes,"Hand manual (e.g. rope pump, rope & bucket)",never broken,Yes,other
North,Port Loko,Kaffu Bullom,Sumbuya,Private Well,protec dug_well,Functional in use,Seasonal,Yes,Private Individual,Privat owner,No,Yes,"Hand manual (e.g. rope pump, rope & bucket)",never broken,Yes,other
North,Port Loko,Kaffu Bullom,Rotifunk town,community well,protec dug_well,Functional in use,Seasonal,Yes,Community,Privat owner,No,Yes,"Hand manual (e.g. rope pump, rope & bucket)",never broken,No,other
North,Bombali,Tambakha,Fondokorie,Fondokorie Community Pump,protec dug_well,Functional in use,Always water,Yes,Community,WASH management committee,Yes,No,Hand pump,Over a month,No,WASH management committee
North,Koinadugu,Nieni,Firawa,Hand dug well,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,No,No,Hand pump,Over a month,Yes,other
North,Koinadugu,Mongo,Karifaya,Hand dug well,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,Yes,No,Hand pump,Less than a week,No,other
North,Tonkolili,,bongay,bongay water point 2,borewell,Functional NOT in use,Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,Over a month,Yes,WASH management committee
North,Tonkolili,Malal Mara,Marockie,Mosque,protec dug_well,Functional in use,Seasonal,Yes,Community,NGO,No,Yes,Hand pump,never broken,No,NGO
North,Port Loko,Kaffu Bullom,Malokor,Private Well,protec dug_well,Functional NOT in use,Dry always / Never water,Yes,Private Individual,Privat owner,No,Yes,"Hand manual (e.g. rope pump, rope & bucket)",More than a year,No,other
North,Tonkolili,Yoni,Mile 91,Magburaka Rd,protec dug_well,Broken down,Always water,Yes,Community,Uknown,No,No,Hand pump,Over a month,No,Uknown
North,Tonkolili,Kholifa Rowala,Mabom Street,Mabom Street pump,spring_protec,Functional in use,Seasonal,Yes,Community,Uknown,No,No,,Less than a week,,Uknown
North,Port Loko,Kaffu Bullom,kasongha,private well,protec dug_well,Functional in use,Always water,Yes,Private Individual,Privat owner,Yes,Yes,Submersible pump,never broken,No,other
North,Koinadugu,Dembelia-Sinkunia,Gbindi,Mosque well,unprotec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,Yes,No,Hand pump,Less than a week,No,other
North,Koinadugu,Dembelia-Sinkunia,Masaindai,community well,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,No,No,Hand pump,More than a year,No,other
North,Port Loko,Marampa,Gbom Limba,Community Water well2,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,Yes,No,Hand pump,never broken,Yes,other
North,Bombali,Sanda Tendaran,mateboi,community well,unprotec dug_well,Functional but damaged,Seasonal,Yes,Private Individual,Privat owner,Yes,Yes,"Hand manual (e.g. rope pump, rope & bucket)",More than a year,Unkown,other
North,Koinadugu, Wara Wara Yagala,Shangai Compound,Shangai Compound water point,protec dug_well,Functional NOT in use,Always water,Uknown,Community,Other community group,No,No,Hand pump,never broken,Unkown,other
North,Koinadugu, Wara Wara Yagala,Kamaseh,Kamaseh water point,public tap/kiosk,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,No,Gravity,I don't know,,WASH management committee
North,Koinadugu,Mongo,Tilikoro,Farama road hand pump,protec dug_well,Broken down,Seasonal,No,Community,Other community group,No,No,Hand pump,More than a year,No,other
North,Tonkolili,Yoni,rochen kamandao,unc primary school well,protec dug_well,Functional in use,Always water,Yes,School,School,No,No,Hand pump,never broken,Yes,School
North,Tonkolili,Kholifa Rowala,magburaka,water point,protec dug_well,Functional in use,Seasonal,Yes,School,No management,No,No,Hand pump,never broken,No,No management
North,Port Loko,Masimera,Mathaineh bana,By The Mosque,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,No,No,Hand pump,never broken,Yes,other
North,Port Loko,Dibia,gbainti,school well,unprotec dug_well,Functional but damaged,Seasonal,No,School,WASH management committee,Yes,Yes,"Hand manual (e.g. rope pump, rope & bucket)",Over a month,No,WASH management committee
North,Port Loko,TMS,Mafonikay,Evangelical Model Primary School pump,protec dug_well,Functional but damaged,Seasonal,Yes,Community,WASH management committee,Yes,Yes,Hand pump,Over a month,Yes,WASH management committee
North,Port Loko,Masimera,Massawurr,By The School,protec dug_well,Functional in use,Always water,Yes,Community,NGO,No,Yes,Hand pump,More than a year,No,NGO
North,Tonkolili,Kunike,masingbi,kono road,borewell,Broken down,Always water,Yes,Community,WASH management committee,Yes,Don't know,Gravity,I don't know,Unkown,WASH management committee
North,Tonkolili,Yoni,mile 91,community hand pumpppp00ppP,protec dug_well,Functional in use,Dry always / Never water,Yes,Community,Other community group,No,No,Hand pump,never broken,Yes,other
North,Koinadugu, Wara Wara Yagala,Kabala,Kondeia road well,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,No,No,Hand pump,Less than a week,Yes,other
North,Bombali,Makari Gbanti,Madina Tabai,community water point 2,borewell,Broken down,Always water,Yes,Community,WASH management committee,Yes,No,No pump present,I don't know,No,WASH management committee
North,Port Loko,Sanda Magbolont,Kamateh,Kamateh community water well,protec dug_well,under rehabilitation,Seasonal,No,Community,No management,No,Yes,Hand pump,Over a month,No,No management
North,Koinadugu, Wara Wara Yagala,Yataya,Yataya water point,protec dug_well,Functional NOT in use,Always water,Yes,Community,Other community group,No,No,Hand pump,never broken,Unkown,other
North,Port Loko,Lokomasama,Babara,Health well,borewell,Functional in use,Always water,Yes,Health Facility,School,No,Yes,Gravity,never broken,Yes,School
North,Port Loko,Masimera,Mabonko,Mabonko,protec dug_well,Functional in use,Seasonal,Yes,Community,cawec,No,No,Hand pump,Over a month,Yes,other
North,Port Loko,Buya Romende,kolifa,Evangelical Primary school,protec dug_well,Functional in use,Seasonal,Yes,School,Other community group,Yes,No,Hand pump,More than a year,Yes,other
North,Port Loko,TMS,Masue,Abdurahman Kargbo,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,Yes,Hand pump,Over a month,No,WASH management committee
North,Port Loko,TMS,Robomp,DEC Robomp,borewell,Broken down,Always water,Yes,School,School,Yes,Yes,Hand pump,More than a year,No,School
North,Bombali,Sella Limba,Kenenday,Kenenday Com well.,borewell,Functional in use,Always water,Yes,Community,NGO,Yes,Yes,Hand pump,Over a month,No,NGO
North,Port Loko,Dibia,Gbombana,School well,protec dug_well,Functional in use,Seasonal,Yes,School,School,Yes,Yes,Hand pump,never broken,Yes,School
North,Port Loko,Bureh Kasseh Makonteh,Marenka,MaKargbo,protec dug_well,Functional in use,Seasonal,Yes,Community,Head man,Yes,Yes,Hand pump,Over a month,Yes,other
North,Port Loko,Buya Romende,Rokamba Village,Rokamba Village Water well ABC Store,protec dug_well,Functional in use,Seasonal,No,Community,Other community group,Yes,No,Hand pump,More than a year,Yes,other
North,Bombali,Makari Gbanti,Yainkasa town,Community well,borewell,under rehabilitation,Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,More than a year,No,WASH management committee
North,Port Loko,Kaffu Bullom,Gbonkor,Community well,protec dug_well,Functional in use,Dry always / Never water,No,Community,Other community group,Yes,Yes,Hand pump,never broken,Yes,other
North,Port Loko,Lokomasama,gbainty,health well,protec dug_well,Functional in use,Seasonal,Yes,Health Facility,WASH management committee,Yes,Yes,Hand pump,More than a year,Yes,WASH management committee
North,Tonkolili,Yoni,Mile 91,community,protec dug_well,Functional but damaged,Always water,Yes,Community,Other community group,Yes,No,Hand pump,More than a year,No,other
North,Koinadugu,Diang,Kamaron,Stand pipe,gravity_scheme,Functional in use,Seasonal,Yes,School,School,No,No,Gravity,Over a month,No,School
North,Koinadugu,Nieni,Alikalia,Alikalia community tap,public tap/kiosk,Broken down,Seasonal,No,Community,Other community group,No,No,Gravity,More than a year,,other
North,Koinadugu,Nieni,Kumala,Borehole,borewell,under construction,Always water,Uknown,SALWACO,SALWACO,Unknown,No,Not yet install,never broken,Unkown,SALWACO
North,Port Loko,Kaffu Bullom,Royeama,Private well,protec dug_well,Functional NOT in use,Seasonal,Yes,Private Individual,Privat owner,No,Yes,Hand pump,More than a year,Yes,other
North,Koinadugu,Neya,Masofinya,Private Well,unprotec dug_well,Functional but damaged,Seasonal,No,Private Individual,No management,No,No,"Hand manual (e.g. rope pump, rope & bucket)",Over a month,No,No management
North,Koinadugu,Mongo,Gbenikoro,Hand dug well,protec dug_well,Functional in use,Seasonal,Yes,School,WASH management committee,Yes,No,Hand pump,never broken,No,WASH management committee
North,Koinadugu,Nieni,Komoya,Hand dug well,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,No,No,Hand pump,More than a year,No,other
North,Koinadugu,Neya,Kumbaweilay Ballia,Hand dug well,protec dug_well,under construction,Dry always / Never water,No,Community,No management,No,No,Hand pump,More than a year,No,No management
North,Port Loko,Maforki,Old PORTLOKO Rd Rogbere Junction,Community water well,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,Yes,No,Hand pump,Over a month,Yes,other
North,Koinadugu,Nieni,Funumbakoro,Stand pipe,public tap/kiosk,Functional but damaged,Seasonal,Yes,Community,Other community group,Yes,No,Gravity,Over a week,,other
North,Bombali,Makeni City,Gada Area.,S D A primary School Well.,protec dug_well,Functional but damaged,Always water,Yes,School,Sweiss foundation.,Yes,No,Hand pump,More than a year,Yes,other
North,Koinadugu,Sengbe,Kamandu Sokurala,Kamandu Sokurala water,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,No,No,Hand pump,More than a year,No,other
North,Kambia,Magbema,Gbonkomaria,Hand pump,protec dug_well,Broken down,Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,I don't know,Yes,WASH management committee
North,Koinadugu,Nieni,Funumbakoro,Stand pipe,public tap/kiosk,Functional but damaged,Seasonal,Yes,Community,Other community group,Yes,No,Gravity,Over a week,,other
North,Port Loko,Marampa,Pa Kumar' street lunsar,pa kuma street water poin t lunsar,public tap/kiosk,Functional but damaged,Seasonal,Yes,Community,Other community group,No,No,Hydram pump,More than a year,,other
North,Bombali,Safroko Limba,Binkolo,Acha Compound water point,protec dug_well,Functional in use,Always water,Yes,Private Individual,Privat owner,No,Yes,Hand pump,Less than a week,Yes,other
North,Koinadugu,Mongo,Mongo Bendugu,Mongo central mosque well,protec dug_well,Functional in use,Seasonal,Yes,Other Institution,Other Institution,No,No,"Hand manual (e.g. rope pump, rope & bucket)",Over a month,Yes,Other Institution
North,Port Loko,Kaffu Bullom,Royeama,Community well,protec dug_well,Functional in use,Dry always / Never water,Yes,Private Individual,Privat owner,No,Yes,Hand pump,never broken,Yes,other
North,Bombali,Biriwa,karina,school compound,borewell,Functional NOT in use,Seasonal,Yes,School,School,Yes,Yes,Hand pump,Over a month,Yes,School
North,Koinadugu,Neya,Yirandu,Hand dug well,unprotec dug_well,Broken down,Always water,No,Community,WASH management committee,Yes,No,with out pump,More than a year,No,WASH management committee
North,Port Loko,Lokomasama,konteya,community well,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,Yes,Hand pump,More than a year,Yes,WASH management committee
North,Tonkolili,Kunike Barina,masaba,mchp water point,protec dug_well,Broken down,Always water,Yes,Health Facility,Health Facility,Yes,No,Hand pump,never broken,Yes,Health Facility
North,Bombali,Paki Masabong,Masatie,Masatie Community well,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,never broken,No,WASH management committee
North,Port Loko,TMS,Malakuray Town,Malakuray CHC,borewell,Functional in use,Always water,Yes,Health Facility,Health Facility,No,Yes,Submersible pump,I don't know,No,Health Facility
North,Port Loko,TMS,Mafora dorah,Pa.Mahamed Compound,protec dug_well,Functional in use,Seasonal,Yes,Community,The town chief,Yes,No,Hand pump,never broken,Yes,other
North,Bombali,Sanda Loko,Maparay,Mammy Haja Pump,borewell,Functional in use,Always water,Yes,Private Individual,Privat owner,Yes,Yes,Hand pump,never broken,Yes,other
North,Koinadugu,Kasunko,Sagbangba,RC primary school water point,protec dug_well,Functional NOT in use,Always water,Yes,School,School,No,No,Hand pump,never broken,Yes,School
North,Port Loko,Kaffu Bullom,Tombo Bana,Community well,protec dug_well,Functional in use,Dry always / Never water,Yes,Private Individual,Privat owner,No,Yes,"Hand manual (e.g. rope pump, rope & bucket)",never broken,No,other
North,Port Loko,Lokomasama,mapiterr,community well,protec dug_well,Broken down,Always water,Yes,Community,Other community group,No,Yes,Hand pump,More than a year,Yes,other
North,Koinadugu,Dembelia-Sinkunia,Sinkunia,militry tap,protec dug_well,under construction,Seasonal,No,School,Other community group,Yes,No,Hand pump,never broken,No,other
North,Koinadugu,Nieni,Kumala,Hand dug well,protec dug_well,Functional in use,Always water,Yes,School,School,Yes,No,Hand pump,Over a month,Yes,School
North,Koinadugu,Nieni,Alikalia,Stand pipe,public tap/kiosk,Functional but damaged,Seasonal,Uknown,Community,Other community group,Unknown,No,Gravity,Over a month,,other
North,Port Loko,Marampa,Robis,Robis,protec dug_well,Broken down,Seasonal,Yes,Community,NGO,Yes,Yes,Hand pump,Over a month,Yes,NGO
North,Koinadugu, Wara Wara Yagala,Sokoliabalia,community well,protec dug_well,Broken down,Always water,Yes,Community,Other community group,Yes,No,Hand pump,Over a month,No,other
North,Port Loko,TMS,Masongo,Masongo,protec dug_well,Broken down,Always water,Yes,Community,Communitymembers,No,No,Hand pump,More than a year,No,other
North,Port Loko,Lokomasama,Bakolo,Susan Kamara's Compound,protec dug_well,Functional in use,Always water,Yes,Community,WASH management committee,Yes,Yes,Hand pump,Over a month,Yes,WASH management committee
North,Port Loko,Kaffu Bullom,kasongha,community well,protec dug_well,Functional but damaged,Always water,Yes,Private Individual,Privat owner,No,Yes,"Hand manual (e.g. rope pump, rope & bucket)",Over a month,No,other
North,Koinadugu,Neya,Masofinya,Private well,unprotec dug_well,Broken down,Seasonal,Yes,Private Individual,No management,No,No,"Hand manual (e.g. rope pump, rope & bucket)",Over a month,No,No management
North,Koinadugu,Mongo,Mongo Bendugu,Kabala road hand pump,protec dug_well,Broken down,Always water,Yes,Community,Other community group,No,No,Hand pump,More than a year,No,other
North,Koinadugu,Mongo,Walgbasakor,Walgbasakor community well,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,Yes,No,Hand pump,Over a month,No,other
North,Koinadugu, Wara Wara Yagala,Kabala,Street tap,public tap/kiosk,under construction,Dry always / Never water,Uknown,SALWACO,SALWACO,No,No,Hydram pump,never broken,,SALWACO
North,Koinadugu,Nieni,Alikalia,Public Tap,public tap/kiosk,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,No,Surface pump,Over a month,,WASH management committee
North,Koinadugu, Wara Wara Bafodia,Mandeia,school well,unprotec dug_well,under construction,Always water,No,School,School,Yes,No,Hand pump,never broken,No,School
North,Port Loko,Kaffu Bullom,Royeama,Community well,protec dug_well,Functional NOT in use,Dry always / Never water,Yes,Private Individual,Privat owner,No,Yes,Hand pump,Over a month,No,other
North,Tonkolili,Yoni,Yonibana,Old maket road,public tap/kiosk,Functional in use,Always water,Yes,SALWACO,SALWACO,Yes,No,Gravity,I don't know,,SALWACO
North,Bombali,Biriwa,Manjoro,Manjoro Community well,protec dug_well,Broken down,Seasonal,Yes,Community,NGO,No,Yes,Hand pump,More than a year,Unkown,NGO
North,Port Loko,Dibia,Gbinti,Community well,unprotec dug_well,under construction,Seasonal,Yes,Private Individual,Privat owner,Yes,Yes,Gravity,never broken,Yes,other
North,Port Loko,Bureh Kasseh Makonteh,Mafaray,Community well,borewell,Functional in use,Always water,Yes,Community,No management,Yes,Yes,Hand pump,never broken,No,No management
North,Bombali,Sanda Tendaran,Maquee,Tamaraneh Pump,borewell,Functional in use,Always water,Yes,Community,Other community group,Yes,Don't know,Hand pump,Over a week,No,other
North,Koinadugu,Mongo,Mongo Bendugu,Xaverian Missionaries hand pump,protec dug_well,Functional in use,Always water,No,Other Institution,Other Institution,No,No,"Hand manual (e.g. rope pump, rope & bucket)",never broken,No,Other Institution
North,Koinadugu,Diang,Soliya,Stand pipe,gravity_scheme,Broken down,Seasonal,Yes,Community,Other community group,No,No,Gravity,More than a year,No,other
North,Bombali,,Makai,Community Well,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,never broken,No,WASH management committee
North,Bombali,Biriwa,Bumban,Bumban Community Tap,public tap/kiosk,Functional in use,Always water,Yes,Community,WASH management committee,Yes,No,Gravity,More than a year,,WASH management committee
North,Koinadugu,Kasunko,Sinbek,community well,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,No,No,Hand pump,never broken,Yes,other
North,Port Loko,Kaffu Bullom,Tombo Bana,Community well,protec dug_well,Functional in use,Seasonal,Yes,Other Institution,Other Institution,No,Yes,Hand pump,never broken,Yes,Other Institution
North,Tonkolili,Kholifa Rowala,TDC 2 primary school,TDC water point,protec dug_well,Functional in use,Dry always / Never water,Yes,School,WASH management committee,Yes,No,Hand pump,Over a week,No,WASH management committee
North,Port Loko,Kaffu Bullom,Rotifunk town,community well,borewell,under rehabilitation,Always water,Yes,Community,Other community group,No,Yes,Hand pump,never broken,Yes,other
North,Port Loko,TMS,Mateti,By Abdulai Kanu residence,protec dug_well,Functional in use,Always water,Yes,Community,WASH management committee,Yes,Yes,Hand pump,Over a month,Yes,WASH management committee
North,Bombali,Safroko Limba,Binkolo,Mangoreh Junction,protec dug_well,Functional in use,Always water,Yes,Community,Direct aid,Unknown,Yes,Hand pump,never broken,Unkown,other
North,Kambia,Mambolo,Rowollpn,Bole hole,protec dug_well,Functional NOT in use,Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,Over a month,Yes,WASH management committee
North,Koinadugu,Sulima,Falaba,Fodaya water point,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,Unknown,No,Hand pump,Over a month,Yes,other
North,Tonkolili,Tane,Nomiwala,Nomiwala  Water point,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,Yes,Hand pump,Over a month,No,WASH management committee
North,Koinadugu,Dembelia-Sinkunia,Mannah Affia,Community,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,No,No,Hand pump,never broken,No,other
North,Tonkolili,Kunike Barina,patifu tean,patifu tean water point,protec dug_well,Functional in use,Always water,Yes,Community,WASH management committee,Yes,No,Hand pump,never broken,No,WASH management committee
North,Bombali,Sella Limba,Kathantha Yimbon,Kathantha ChC Well.,protec dug_well,Functional in use,Always water,Yes,Health Facility,NGO,Yes,Yes,Hand pump,Over a week,Yes,NGO
North,Bombali,Gbendembu Ngowahun,Kotohun,School pump,borewell,Functional in use,Always water,Yes,School,School,Unknown,Don't know,Hand pump,never broken,Yes,School
North,Port Loko,Kaffu Bullom,Sumbuya,community well,protec dug_well,Broken down,Seasonal,No,Community,Other community group,No,Yes,"Hand manual (e.g. rope pump, rope & bucket)",never broken,No,other
North,Port Loko,Dibia,gbainti,school well,unprotec dug_well,Functional but damaged,Seasonal,No,School,WASH management committee,Yes,Yes,Hand pump,Over a week,No,WASH management committee
North,Port Loko,Marampa,Marampa,Community Centre,protec dug_well,Functional in use,Always water,Yes,Community,NGO,No,Yes,Hand pump,Over a month,Yes,NGO
North,Bombali,Sella Limba,Kamakankoi,Kamakankoi Com Well.,protec dug_well,Broken down,Dry always / Never water,Uknown,Community,NGO,No,Yes,Hand pump,More than a year,No,NGO
North,Port Loko,Dibia,gbinti,community well,unprotec dug_well,Functional but damaged,Always water,No,Community,WASH management committee,Yes,Yes,"Hand manual (e.g. rope pump, rope & bucket)",Over a month,No,WASH management committee
North,Port Loko,Kaffu Bullom,Gbaintiy,mosque well,borewell,Functional in use,Always water,Yes,Other Institution,Other Institution,No,Yes,Hand pump,Over a week,Yes,Other Institution
North,Koinadugu,Nieni,Sumbaria,Hand dug well,protec dug_well,Broken down,Seasonal,No,School,School,No,No,Hand pump,More than a year,No,School
North,Port Loko,Kaffu Bullom,kasongha,community well,protec dug_well,Functional in use,Always water,Yes,Private Individual,Privat owner,Yes,Yes,"Hand manual (e.g. rope pump, rope & bucket)",never broken,No,other
North,Bombali,Sella Limba,Masankorie,Masankorie Com well 2.,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,Over a week,No,WASH management committee
North,Bombali,Sella Limba,Kamasama,Kamasama Com well.,protec dug_well,Functional in use,Always water,Yes,Community,WASH management committee,Yes,Yes,Hand pump,Over a week,Yes,WASH management committee
North,Bombali,Safroko Limba,Binkolo,Community Well,protec dug_well,Functional in use,Always water,Yes,Community,WASH management committee,Yes,No,Hand pump,Less than a week,No,WASH management committee
North,Tonkolili,Kholifa Rowala,Bo road - Magburaka,Ibrahim Conteh - Handdug Well,protec dug_well,under construction,Always water,Uknown,Community,Other Institution,Unknown,Yes,Hand pump,never broken,Unkown,Other Institution
North,Bombali,Safroko Limba,Masama,Masama Community Well,protec dug_well,Broken down,Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,More than a year,Yes,WASH management committee
North,Bombali,Sella Limba,Kayasie,Alharkan pri sch well kayasie.,protec dug_well,under construction,Always water,Uknown,School,NGO,Yes,No,on construction,I don't know,Unkown,NGO
North,Bombali,Sella Limba,Kamakwie 3,Kamakwie 3 Com well 1.,protec dug_well,Functional in use,Seasonal,Yes,Community,NGO,Yes,No,Hand pump,Over a month,Yes,NGO
North,,,Bo road,Bo road,spring_protec,Functional in use,Seasonal,Yes,Community,SALWACO,Yes,No,,Less than a week,,SALWACO
North,Bombali,Sella Limba,Kathirie Kamakwie 1,Kathirie Kamakwie Well,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,Over a month,Yes,WASH management committee
North,Bombali,Gbendembu Ngowahun,Maberreh,Community Well,borewell,Broken down,Always water,Yes,Community,WASH management committee,Yes,No,Hand pump,Over a week,No,WASH management committee
North,Port Loko,Lokomasama,Maseka,community well,protec dug_well,Broken down,Always water,Yes,Community,Other community group,Yes,Yes,Hand pump,More than a year,No,other
North,Port Loko,Dibia,gbainti,community well,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,Yes,Hand pump,Over a month,Yes,WASH management committee
North,Bombali,Makari Gbanti,Rorainka,Community clinic well,protec dug_well,Broken down,Seasonal,Yes,Health Facility,Health Facility,No,No,Hand pump,More than a year,Yes,Health Facility
North,Port Loko,Lokomasama,mawillmabassie,community  well,protec dug_well,Broken down,Seasonal,Yes,Community,WASH management committee,Yes,Yes,Hand pump,More than a year,Yes,WASH management committee
North,Bombali,Sella Limba,Kakuru,Kakuru Com well 2.,protec dug_well,Functional in use,Dry always / Never water,No,Community,WASH management committee,Yes,No,Hand pump,More than a year,No,WASH management committee
North,Bombali,Biriwa,Kamasiki,Kamasiki Cimmynity Well.3,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,No,No,Hand pump,Over a month,No,other
