Region,District,Chiefdom,Section,wp name,wp type,wp_func,wp_susta,wp_suita,ownership,maintenance,WASH comm,decl_ODF,extrac_type,time_repair,chlorination,maint_con
East,Kono,Nimikoro,Wanjama,Public Stand Post,public tap/kiosk,Functional in use,Always water,Yes,Community,Community,No,No,Gravity,Over a week,,Community
East,Kono,Gbense,Baiama,Bore hole,borewell,Functional in use,Always water,Yes,Community,Other community group,No,No,Hand pump,never broken,No,other
East,Kono,Nimikoro,Motema,Hand Dug Well,protec dug_well,Broken down,Seasonal,Yes,Community,Community,No,No,Hand pump,I don't know,Yes,Community
East,Kono,Koidu City,Gbense Sinnah town,hand dug well,protec dug_well,Functional NOT in use,Seasonal,Yes,Community,Other community group,No,No,Hand pump,Less than a week,No,other
East,Kono,Nimikoro,nyamdu,Bore hole,borewell,Functional in use,Always water,Yes,Community,Other community group,No,No,Hand pump,I don't know,No,other
East,Kono,Gbense,gbukuma,hand dug well,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,Yes,Yes,Hand pump,Less than a week,Unkown,other
East,Kailahun,Kpeje West,Moyamba,Peyama Well 4,unprotec dug_well,Functional in use,Always water,Yes,Private Individual,Privat owner,No,No,"Hand manual (e.g. rope pump, rope & bucket)",never broken,No,other
East,Kono,Gorama Kono,Tokpumbu,Hand Dug Well,protec dug_well,Functional NOT in use,Always water,Yes,Community,Local council,Yes,No,Hand pump,Over a month,Yes,Local council
East,Kono,Nimikoro,Motema,Hand Dug Well,protec dug_well,Functional in use,Always water,Yes,Community,Community,No,No,Hand pump,never broken,Yes,Community
East,Kono,Nimikoro,Motema,Bore hole,borewell,Functional in use,Seasonal,Yes,Community,NGO,No,No,Hand pump,Over a month,Yes,NGO
East,Kono,Gbane Kandor,Kunteh Village,R.C.Primary School Kunteh,protec dug_well,Broken down,Seasonal,Yes,School,Other community group,Yes,Yes,Hand pump,More than a year,No,other
East,Kailahun,Malema,Njeihun 2,community spring,spring_protec,Functional but damaged,Always water,Yes,Community,WASH management committee,Yes,No,,Over a month,,WASH management committee
East,Kailahun,Kissi Teng,Nyordu,AOG Primary School Pump,protec dug_well,Functional NOT in use,Always water,No,School,School,Yes,Yes,Hand pump,never broken,Yes,School
East,Kenema,Gaura,Perrie,Kabala Water Point,public tap/kiosk,Functional in use,Seasonal,Yes,Community,Community,No,No,Gravity,never broken,,Community
East,Kenema,Gaura,Nydehun,Hand pump,protec dug_well,Functional but damaged,Seasonal,Yes,Community,WASH management committee,Yes,Don't know,Hand pump,More than a year,Yes,WASH management committee
East,Kenema,Lower Bambara,Saama,Saama community pump,public tap/kiosk,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,Yes,,,,WASH management committee
East,Kono,,Kocheo,Kocheo school pump,protec dug_well,Functional in use,Seasonal,Yes,School,School,Yes,No,Hand pump,More than a year,No,School
East,Kailahun,Upper Bambara,Pendembu,Pendembu,protec dug_well,Functional in use,Always water,Yes,School,School,Yes,No,Hand pump,Less than a week,Yes,School
East,Kono,Gbense,Sahr Lebbie Street,Hand Dug Well,protec dug_well,Functional in use,Always water,Yes,Private Individual,Privat owner,Unknown,No,Submersible pump,never broken,Yes,other
East,Kailahun,Kpeje West,Jokibu,Jokibu Well 1,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,Over a week,No,WASH management committee
East,Kenema,Kenema City,nyandeyama,manzola compound water point,private tap,Functional in use,Seasonal,Yes,Private Individual,Privat owner,No,Yes,,Over a week,,other
East,Kailahun,Kpeje West,Sajela,Sajela Well 1,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,never broken,No,WASH management committee
East,Kono,Gbense,Kwidadu,hand dug well,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,No,No,Hand pump,never broken,Yes,other
East,Kenema,Koya,koya,catehun water point,protec dug_well,Broken down,Dry always / Never water,Yes,Community,Other community group,No,No,Hand pump,I don't know,No,other
East,Kenema,Gaura,Sandaru,Gravity water supply,public tap/kiosk,Functional in use,Always water,Yes,Community,Uknown,No,Don't know,Gravity,I don't know,,Uknown
East,Kailahun,Yawei,Peyama,Peyama water point,public tap/kiosk,Broken down,Dry always / Never water,No,Community,WASH management committee,Yes,No,Hand pump,More than a year,,WASH management committee
East,Kailahun,Mandu,Baiima,Baiima community,public tap/kiosk,Broken down,Seasonal,Yes,Community,Other community group,Yes,No,Gravity,Over a month,,other
East,Kailahun,Kpeje West,Sajela,Well2 Sajela,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,never broken,No,WASH management committee
East,Kono,Nimikoro,Foukor,public Stand post,public tap/kiosk,Broken down,Dry always / Never water,Yes,Community,Other community group,No,No,Gravity,More than a year,,other
East,Kailahun,Penguia,Njala,Kotuya,unprotec dug_well,Functional in use,Seasonal,Yes,Community,Community,Yes,Yes,Gravity,never broken,No,Community
East,Kono,Nimikoro,yengema,public Stand post,public tap/kiosk,Broken down,Dry always / Never water,Yes,Community,mosque,No,No,Gravity,More than a year,,other
East,Kailahun,Kissi Kama,Jaah,Jaah waterpoint,surface_water,Functional in use,Seasonal,Yes,Community,Other community group,No,No,,,,other
East,Kailahun,Kissi Kama,Sepadu,Sepadu waterpoint,protec dug_well,Broken down,Always water,Yes,Community,Other community group,No,No,Hand pump,Over a month,No,other
East,Kono,Lei,Koima,Koima  water  pomp,public tap/kiosk,Functional in use,Always water,Yes,Community,WASH management committee,Yes,Yes,Gravity,Less than a week,,WASH management committee
East,Kailahun,Malema,Jojoima,Jojoima water point,private tap,Functional in use,Seasonal,Yes,Community,Other community group,No,Don't know,,Over a week,,other
East,Kono,Nimikoro,Jaiama Nimikoro,Public Stand Post,public tap/kiosk,Broken down,Dry always / Never water,Yes,Community,No management,No,Don't know,Gravity,Over a month,,No management
East,Kono,Gbense,kaidu,hand dug well,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,No,Yes,Hand pump,Less than a week,Yes,other
East,Kailahun,Mandu,Mobai,Mobai water point,private tap,Functional but damaged,Seasonal,Yes,Community,Other community group,Yes,Don't know,,Over a month,,other
East,Kono,Nimikoro,bumpeh,hand,protec dug_well,Functional in use,Always water,Yes,Community,Cansuyu,Unknown,Yes,Hand pump,Less than a week,Yes,other
East,Kailahun,Penguia,Kakelu,Samibu,public tap/kiosk,Functional in use,Always water,Yes,Community,WASH management committee,Yes,No,Hand pump,never broken,,WASH management committee
East,Kailahun,Penguia,Ngodaman,Ngodame Well.1,protec dug_well,Functional in use,Seasonal,Yes,Community,Privat owner,No,No,Hand pump,Over a month,No,other
East,Kono,Nimikoro,fadehun,hand dug well,protec dug_well,Broken down,Seasonal,Yes,Community,NGO,Yes,Yes,Hand pump,Less than a week,Yes,NGO
East,Kailahun,Kissi Tongi,Mandopolahun,Mandopolahun Water point 2,protec dug_well,Functional NOT in use,Seasonal,Yes,Community,Other community group,No,No,Hand pump,Over a month,No,other
East,Kailahun,Mandu,Baiima,Baiima water point,private tap,Functional in use,Seasonal,Yes,Community,Other Institution,Yes,Don't know,,Over a week,,Other Institution
East,Kailahun,Kissi Kama,Sangha,Sangha waterpoint,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,Yes,No,Hand pump,never broken,Yes,other
East,Kono,Sandor,Bendu,Bendu Community hand pump,protec dug_well,Functional in use,Seasonal,No,Community,NGO,Yes,Yes,Hand pump,Over a month,No,NGO
East,Kailahun,Kissi Tongi,Dawa,Dawa Water Point,unprotec dug_well,Functional NOT in use,Seasonal,Yes,Community,Other community group,No,No,Hand pump,More than a year,No,other
East,Kono,Nimikoro,Njala,Stand Post,public tap/kiosk,Functional in use,Always water,Yes,Community,Local council,Unknown,No,Gravity,Over a week,,Local council
East,Kailahun,Luawa,Kailahun,Yambasu Compound water point,unprotec dug_well,Functional in use,Dry always / Never water,Yes,Private Individual,Privat owner,No,Yes,"Hand manual (e.g. rope pump, rope & bucket)",never broken,Yes,other
East,Kenema,Kenema City,nyandeyama,amadu jalloh stand pipe,public tap/kiosk,Functional in use,Seasonal,Yes,Private Individual,Privat owner,No,No,Hand pump,Less than a week,,other
East,Kailahun,Luawa,Yandowahun,SLMB waterpoint,protec dug_well,Broken down,Always water,Yes,School,School,No,No,Hand pump,More than a year,Yes,School
East,Kailahun,Malema,Jojoima,Jojoima,public tap/kiosk,Broken down,Seasonal,Yes,Community,Other community group,Yes,No,Gravity,More than a year,,other
East,Kailahun,Penguia,kono Bendu,RC Primary School Kono Bendu Well,protec dug_well,Broken down,Seasonal,Yes,School,No management,No,No,Hand pump,I don't know,No,No management
East,Kono,Fiama,Musayah,Stand Post,public tap/kiosk,Functional in use,Always water,Yes,Community,Community,Unknown,No,Gravity,I don't know,,Community
East,Kailahun,Kissi Teng,Kangama,Borlu water point,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,No,No,Hand pump,Over a week,No,other
East,Kailahun,Luawa,Kailahun,Danialla water point,protec dug_well,Broken down,Dry always / Never water,Yes,Private Individual,Uknown,No,Yes,Hand pump,never broken,No,Uknown
East,Kono,Soa,Sukudu,Owen by the m.c.h.p,protec dug_well,Functional in use,Seasonal,Yes,Health Facility,Health Facility,Yes,Yes,Hand pump,Over a month,Yes,Health Facility
East,Kono,Nimiyama,Bambakunia,Hand Dug Well,protec dug_well,Broken down,Seasonal,Yes,Community,Community,No,No,Hand pump,Over a month,Yes,Community
East,Kenema,Kenema City,Nyandeyama,Amadu Bah - Standpost,public tap/kiosk,Broken down,Seasonal,Yes,Community,Privat owner,No,Don't know,Gravity,More than a year,,other
East,Kailahun,Kissi Tongi,Kpomgbodu,kpomgbodu well,surface_water,Functional in use,Always water,Yes,Community,No management,No,Don't know,,,,No management
East,Kailahun,Penguia,Grima,Grima Well. 2,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,No,No,Hand pump,Over a week,Yes,other
